,year,artist,track,time,genre,week,rank,date
36,2000, Macy Gray,I Try,3:52,Rock,1,68,2000-02-19
353,2000, Macy Gray,I Try,3:52,Rock,2,51,2000-02-26
670,2000, Macy Gray,I Try,3:52,Rock,3,47,2000-03-04
987,2000, Macy Gray,I Try,3:52,Rock,4,36,2000-03-11
1304,2000, Macy Gray,I Try,3:52,Rock,5,30,2000-03-18
1621,2000, Macy Gray,I Try,3:52,Rock,6,20,2000-03-25
1938,2000, Macy Gray,I Try,3:52,Rock,7,15,2000-04-01
2255,2000, Macy Gray,I Try,3:52,Rock,8,12,2000-04-08
2572,2000, Macy Gray,I Try,3:52,Rock,9,8,2000-04-15
2889,2000, Macy Gray,I Try,3:52,Rock,10,7,2000-04-22
3206,2000, Macy Gray,I Try,3:52,Rock,11,7,2000-04-29
3523,2000, Macy Gray,I Try,3:52,Rock,12,7,2000-05-06
3840,2000, Macy Gray,I Try,3:52,Rock,13,6,2000-05-13
4157,2000, Macy Gray,I Try,3:52,Rock,14,5,2000-05-20
4474,2000, Macy Gray,I Try,3:52,Rock,15,6,2000-05-27
4791,2000, Macy Gray,I Try,3:52,Rock,16,9,2000-06-03
5108,2000, Macy Gray,I Try,3:52,Rock,17,10,2000-06-10
5425,2000, Macy Gray,I Try,3:52,Rock,18,11,2000-06-17
5742,2000, Macy Gray,I Try,3:52,Rock,19,14,2000-06-24
6059,2000, Macy Gray,I Try,3:52,Rock,20,16,2000-07-01
6376,2000, Macy Gray,I Try,3:52,Rock,21,16,2000-07-08
6693,2000, Macy Gray,I Try,3:52,Rock,22,16,2000-07-15
7010,2000, Macy Gray,I Try,3:52,Rock,23,21,2000-07-22
7327,2000, Macy Gray,I Try,3:52,Rock,24,27,2000-07-29
7644,2000, Macy Gray,I Try,3:52,Rock,25,34,2000-08-05
7961,2000, Macy Gray,I Try,3:52,Rock,26,40,2000-08-12
8278,2000, Macy Gray,I Try,3:52,Rock,27,46,2000-08-19
98,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,1,69,2000-06-17
415,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,2,63,2000-06-24
732,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,3,54,2000-07-01
1049,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,4,50,2000-07-08
1366,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,5,45,2000-07-15
1683,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,6,42,2000-07-22
2000,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,7,31,2000-07-29
2317,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,8,28,2000-08-05
2634,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,9,24,2000-08-12
2951,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,10,34,2000-08-19
3268,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,11,42,2000-08-26
3585,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,12,53,2000-09-02
3902,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,13,65,2000-09-09
4219,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,14,66,2000-09-16
4536,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,15,77,2000-09-23
4853,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,16,94,2000-09-30
5170,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,17,99,2000-10-07
6755,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,22,93,2000-11-11
7072,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,23,91,2000-11-18
7389,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,24,91,2000-11-25
7706,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,25,90,2000-12-02
8023,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,26,89,2000-12-09
8340,2000, Mandy Moore,I Wanna Be With You,4:12,Pop,27,86,2000-12-16
238,2000, Marc Anthony,My Baby You,3:59,Latin,1,82,2000-09-16
555,2000, Marc Anthony,My Baby You,3:59,Latin,2,76,2000-09-23
872,2000, Marc Anthony,My Baby You,3:59,Latin,3,76,2000-09-30
1189,2000, Marc Anthony,My Baby You,3:59,Latin,4,70,2000-10-07
1506,2000, Marc Anthony,My Baby You,3:59,Latin,5,82,2000-10-14
1823,2000, Marc Anthony,My Baby You,3:59,Latin,6,81,2000-10-21
2140,2000, Marc Anthony,My Baby You,3:59,Latin,7,74,2000-10-28
2457,2000, Marc Anthony,My Baby You,3:59,Latin,8,80,2000-11-04
2774,2000, Marc Anthony,My Baby You,3:59,Latin,9,76,2000-11-11
3091,2000, Marc Anthony,My Baby You,3:59,Latin,10,76,2000-11-18
3408,2000, Marc Anthony,My Baby You,3:59,Latin,11,73,2000-11-25
3725,2000, Marc Anthony,My Baby You,3:59,Latin,12,74,2000-12-02
4042,2000, Marc Anthony,My Baby You,3:59,Latin,13,87,2000-12-09
4359,2000, Marc Anthony,My Baby You,3:59,Latin,14,83,2000-12-16
4676,2000, Marc Anthony,My Baby You,3:59,Latin,15,89,2000-12-23
4993,2000, Marc Anthony,My Baby You,3:59,Latin,16,93,2000-12-30
5310,2000, Marc Anthony,My Baby You,3:59,Latin,17,94,2001-01-06
5627,2000, Marc Anthony,My Baby You,3:59,Latin,18,94,2001-01-13
5944,2000, Marc Anthony,My Baby You,3:59,Latin,19,91,2001-01-20
6261,2000, Marc Anthony,My Baby You,3:59,Latin,20,90,2001-01-27
21,2000, Marc Anthony,You Sang To Me,3:50,Latin,1,77,2000-02-26
338,2000, Marc Anthony,You Sang To Me,3:50,Latin,2,54,2000-03-04
655,2000, Marc Anthony,You Sang To Me,3:50,Latin,3,50,2000-03-11
972,2000, Marc Anthony,You Sang To Me,3:50,Latin,4,43,2000-03-18
1289,2000, Marc Anthony,You Sang To Me,3:50,Latin,5,30,2000-03-25
1606,2000, Marc Anthony,You Sang To Me,3:50,Latin,6,27,2000-04-01
1923,2000, Marc Anthony,You Sang To Me,3:50,Latin,7,21,2000-04-08
2240,2000, Marc Anthony,You Sang To Me,3:50,Latin,8,18,2000-04-15
2557,2000, Marc Anthony,You Sang To Me,3:50,Latin,9,15,2000-04-22
2874,2000, Marc Anthony,You Sang To Me,3:50,Latin,10,13,2000-04-29
3191,2000, Marc Anthony,You Sang To Me,3:50,Latin,11,13,2000-05-06
3508,2000, Marc Anthony,You Sang To Me,3:50,Latin,12,13,2000-05-13
3825,2000, Marc Anthony,You Sang To Me,3:50,Latin,13,13,2000-05-20
4142,2000, Marc Anthony,You Sang To Me,3:50,Latin,14,5,2000-05-27
4459,2000, Marc Anthony,You Sang To Me,3:50,Latin,15,2,2000-06-03
4776,2000, Marc Anthony,You Sang To Me,3:50,Latin,16,2,2000-06-10
5093,2000, Marc Anthony,You Sang To Me,3:50,Latin,17,5,2000-06-17
5410,2000, Marc Anthony,You Sang To Me,3:50,Latin,18,7,2000-06-24
5727,2000, Marc Anthony,You Sang To Me,3:50,Latin,19,9,2000-07-01
6044,2000, Marc Anthony,You Sang To Me,3:50,Latin,20,12,2000-07-08
6361,2000, Marc Anthony,You Sang To Me,3:50,Latin,21,12,2000-07-15
6678,2000, Marc Anthony,You Sang To Me,3:50,Latin,22,16,2000-07-22
6995,2000, Marc Anthony,You Sang To Me,3:50,Latin,23,20,2000-07-29
7312,2000, Marc Anthony,You Sang To Me,3:50,Latin,24,20,2000-08-05
7629,2000, Marc Anthony,You Sang To Me,3:50,Latin,25,22,2000-08-12
7946,2000, Marc Anthony,You Sang To Me,3:50,Latin,26,25,2000-08-19
8263,2000, Marc Anthony,You Sang To Me,3:50,Latin,27,26,2000-08-26
8580,2000, Marc Anthony,You Sang To Me,3:50,Latin,28,29,2000-09-02
8897,2000, Marc Anthony,You Sang To Me,3:50,Latin,29,35,2000-09-09
9214,2000, Marc Anthony,You Sang To Me,3:50,Latin,30,33,2000-09-16
9531,2000, Marc Anthony,You Sang To Me,3:50,Latin,31,40,2000-09-23
9848,2000, Marc Anthony,You Sang To Me,3:50,Latin,32,44,2000-09-30
114,2000, Mariah Carey,Crybaby,5:19,Rock,1,28,2000-06-24
431,2000, Mariah Carey,Crybaby,5:19,Rock,2,34,2000-07-01
748,2000, Mariah Carey,Crybaby,5:19,Rock,3,48,2000-07-08
1065,2000, Mariah Carey,Crybaby,5:19,Rock,4,62,2000-07-15
1382,2000, Mariah Carey,Crybaby,5:19,Rock,5,77,2000-07-22
1699,2000, Mariah Carey,Crybaby,5:19,Rock,6,90,2000-07-29
2016,2000, Mariah Carey,Crybaby,5:19,Rock,7,95,2000-08-05
16,2000, Mariah Carey,Thank God I Found...,4:14,Rock,1,82,1999-12-11
333,2000, Mariah Carey,Thank God I Found...,4:14,Rock,2,68,1999-12-18
650,2000, Mariah Carey,Thank God I Found...,4:14,Rock,3,50,1999-12-25
967,2000, Mariah Carey,Thank God I Found...,4:14,Rock,4,50,2000-01-01
1284,2000, Mariah Carey,Thank God I Found...,4:14,Rock,5,41,2000-01-08
1601,2000, Mariah Carey,Thank God I Found...,4:14,Rock,6,37,2000-01-15
1918,2000, Mariah Carey,Thank God I Found...,4:14,Rock,7,26,2000-01-22
2235,2000, Mariah Carey,Thank God I Found...,4:14,Rock,8,22,2000-01-29
2552,2000, Mariah Carey,Thank God I Found...,4:14,Rock,9,22,2000-02-05
2869,2000, Mariah Carey,Thank God I Found...,4:14,Rock,10,2,2000-02-12
3186,2000, Mariah Carey,Thank God I Found...,4:14,Rock,11,1,2000-02-19
3503,2000, Mariah Carey,Thank God I Found...,4:14,Rock,12,2,2000-02-26
3820,2000, Mariah Carey,Thank God I Found...,4:14,Rock,13,4,2000-03-04
4137,2000, Mariah Carey,Thank God I Found...,4:14,Rock,14,13,2000-03-11
4454,2000, Mariah Carey,Thank God I Found...,4:14,Rock,15,21,2000-03-18
4771,2000, Mariah Carey,Thank God I Found...,4:14,Rock,16,28,2000-03-25
5088,2000, Mariah Carey,Thank God I Found...,4:14,Rock,17,43,2000-04-01
5405,2000, Mariah Carey,Thank God I Found...,4:14,Rock,18,57,2000-04-08
5722,2000, Mariah Carey,Thank God I Found...,4:14,Rock,19,82,2000-04-15
6039,2000, Mariah Carey,Thank God I Found...,4:14,Rock,20,89,2000-04-22
140,2000, Mark Wills,Back At One,4:00,Country,1,89,2000-01-15
457,2000, Mark Wills,Back At One,4:00,Country,2,55,2000-01-22
774,2000, Mark Wills,Back At One,4:00,Country,3,51,2000-01-29
1091,2000, Mark Wills,Back At One,4:00,Country,4,43,2000-02-05
1408,2000, Mark Wills,Back At One,4:00,Country,5,37,2000-02-12
1725,2000, Mark Wills,Back At One,4:00,Country,6,37,2000-02-19
2042,2000, Mark Wills,Back At One,4:00,Country,7,36,2000-02-26
2359,2000, Mark Wills,Back At One,4:00,Country,8,39,2000-03-04
2676,2000, Mark Wills,Back At One,4:00,Country,9,42,2000-03-11
2993,2000, Mark Wills,Back At One,4:00,Country,10,46,2000-03-18
3310,2000, Mark Wills,Back At One,4:00,Country,11,45,2000-03-25
3627,2000, Mark Wills,Back At One,4:00,Country,12,52,2000-04-01
3944,2000, Mark Wills,Back At One,4:00,Country,13,64,2000-04-08
4261,2000, Mark Wills,Back At One,4:00,Country,14,74,2000-04-15
4578,2000, Mark Wills,Back At One,4:00,Country,15,84,2000-04-22
4895,2000, Mark Wills,Back At One,4:00,Country,16,90,2000-04-29
5212,2000, Mark Wills,Back At One,4:00,Country,17,94,2000-05-06
5529,2000, Mark Wills,Back At One,4:00,Country,18,99,2000-05-13
156,2000, Martina McBride,Love's The Only H...,5:13,Country,1,79,2000-02-05
473,2000, Martina McBride,Love's The Only H...,5:13,Country,2,69,2000-02-12
790,2000, Martina McBride,Love's The Only H...,5:13,Country,3,65,2000-02-19
1107,2000, Martina McBride,Love's The Only H...,5:13,Country,4,58,2000-02-26
1424,2000, Martina McBride,Love's The Only H...,5:13,Country,5,53,2000-03-04
1741,2000, Martina McBride,Love's The Only H...,5:13,Country,6,52,2000-03-11
2058,2000, Martina McBride,Love's The Only H...,5:13,Country,7,52,2000-03-18
2375,2000, Martina McBride,Love's The Only H...,5:13,Country,8,48,2000-03-25
2692,2000, Martina McBride,Love's The Only H...,5:13,Country,9,45,2000-04-01
3009,2000, Martina McBride,Love's The Only H...,5:13,Country,10,43,2000-04-08
3326,2000, Martina McBride,Love's The Only H...,5:13,Country,11,42,2000-04-15
3643,2000, Martina McBride,Love's The Only H...,5:13,Country,12,42,2000-04-22
3960,2000, Martina McBride,Love's The Only H...,5:13,Country,13,50,2000-04-29
4277,2000, Martina McBride,Love's The Only H...,5:13,Country,14,60,2000-05-06
4594,2000, Martina McBride,Love's The Only H...,5:13,Country,15,64,2000-05-13
4911,2000, Martina McBride,Love's The Only H...,5:13,Country,16,75,2000-05-20
5228,2000, Martina McBride,Love's The Only H...,5:13,Country,17,91,2000-05-27
5545,2000, Martina McBride,Love's The Only H...,5:13,Country,18,93,2000-06-03
5862,2000, Martina McBride,Love's The Only H...,5:13,Country,19,92,2000-06-10
6179,2000, Martina McBride,Love's The Only H...,5:13,Country,20,90,2000-06-17
210,2000, Martina McBride,There You Are,3:26,Country,1,79,2000-09-09
527,2000, Martina McBride,There You Are,3:26,Country,2,75,2000-09-16
844,2000, Martina McBride,There You Are,3:26,Country,3,75,2000-09-23
1161,2000, Martina McBride,There You Are,3:26,Country,4,75,2000-09-30
1478,2000, Martina McBride,There You Are,3:26,Country,5,73,2000-10-07
1795,2000, Martina McBride,There You Are,3:26,Country,6,64,2000-10-14
2112,2000, Martina McBride,There You Are,3:26,Country,7,60,2000-10-21
2429,2000, Martina McBride,There You Are,3:26,Country,8,60,2000-10-28
2746,2000, Martina McBride,There You Are,3:26,Country,9,60,2000-11-04
3063,2000, Martina McBride,There You Are,3:26,Country,10,63,2000-11-11
3380,2000, Martina McBride,There You Are,3:26,Country,11,63,2000-11-18
3697,2000, Martina McBride,There You Are,3:26,Country,12,82,2000-11-25
4014,2000, Martina McBride,There You Are,3:26,Country,13,92,2000-12-02
220,2000, Mary J. Blige,Deep Inside,5:26,Rock,1,83,1999-11-13
537,2000, Mary J. Blige,Deep Inside,5:26,Rock,2,80,1999-11-20
854,2000, Mary J. Blige,Deep Inside,5:26,Rock,3,80,1999-11-27
1171,2000, Mary J. Blige,Deep Inside,5:26,Rock,4,75,1999-12-04
1488,2000, Mary J. Blige,Deep Inside,5:26,Rock,5,75,1999-12-11
1805,2000, Mary J. Blige,Deep Inside,5:26,Rock,6,73,1999-12-18
2122,2000, Mary J. Blige,Deep Inside,5:26,Rock,7,64,1999-12-25
2439,2000, Mary J. Blige,Deep Inside,5:26,Rock,8,64,2000-01-01
2756,2000, Mary J. Blige,Deep Inside,5:26,Rock,9,65,2000-01-08
3073,2000, Mary J. Blige,Deep Inside,5:26,Rock,10,67,2000-01-15
3390,2000, Mary J. Blige,Deep Inside,5:26,Rock,11,63,2000-01-22
3707,2000, Mary J. Blige,Deep Inside,5:26,Rock,12,67,2000-01-29
4024,2000, Mary J. Blige,Deep Inside,5:26,Rock,13,75,2000-02-05
4341,2000, Mary J. Blige,Deep Inside,5:26,Rock,14,85,2000-02-12
4658,2000, Mary J. Blige,Deep Inside,5:26,Rock,15,94,2000-02-19
233,2000, Mary J. Blige,Give Me You,5:00,Rock,1,97,2000-04-15
550,2000, Mary J. Blige,Give Me You,5:00,Rock,2,94,2000-04-22
867,2000, Mary J. Blige,Give Me You,5:00,Rock,3,77,2000-04-29
1184,2000, Mary J. Blige,Give Me You,5:00,Rock,4,76,2000-05-06
1501,2000, Mary J. Blige,Give Me You,5:00,Rock,5,68,2000-05-13
1818,2000, Mary J. Blige,Give Me You,5:00,Rock,6,77,2000-05-20
2135,2000, Mary J. Blige,Give Me You,5:00,Rock,7,89,2000-05-27
2452,2000, Mary J. Blige,Give Me You,5:00,Rock,8,90,2000-06-03
3086,2000, Mary J. Blige,Give Me You,5:00,Rock,10,100,2000-06-17
35,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,1,36,1999-11-27
352,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,2,21,1999-12-04
669,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,3,13,1999-12-11
986,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,4,9,1999-12-18
1303,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,5,7,1999-12-25
1620,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,6,7,2000-01-01
1937,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,7,5,2000-01-08
2254,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,8,7,2000-01-15
2571,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,9,7,2000-01-22
2888,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,10,7,2000-01-29
3205,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,11,8,2000-02-05
3522,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,12,11,2000-02-12
3839,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,13,7,2000-02-19
4156,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,14,10,2000-02-26
4473,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,15,11,2000-03-04
4790,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,16,12,2000-03-11
5107,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,17,15,2000-03-18
5424,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,18,17,2000-03-25
5741,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,19,23,2000-04-01
6058,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,20,30,2000-04-08
6375,2000," Missy ""Misdemeanor"" Elliott",Hot Boyz,3:51,Rap,21,38,2000-04-15
29,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,1,92,1999-10-23
346,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,2,80,1999-10-30
663,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,3,72,1999-11-06
980,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,4,69,1999-11-13
1297,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,5,67,1999-11-20
1614,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,6,61,1999-11-27
1931,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,7,54,1999-12-04
2248,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,8,43,1999-12-11
2565,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,9,38,1999-12-18
2882,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,10,24,1999-12-25
3199,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,11,24,2000-01-01
3516,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,12,20,2000-01-08
3833,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,13,19,2000-01-15
4150,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,14,15,2000-01-22
4467,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,15,15,2000-01-29
4784,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,16,5,2000-02-05
5101,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,17,4,2000-02-12
5418,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,18,4,2000-02-19
5735,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,19,7,2000-02-26
6052,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,20,10,2000-03-04
6369,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,21,5,2000-03-11
6686,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,22,9,2000-03-18
7003,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,23,9,2000-03-25
7320,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,24,7,2000-04-01
7637,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,25,9,2000-04-08
7954,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,26,10,2000-04-15
8271,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,27,10,2000-04-22
8588,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,28,15,2000-04-29
8905,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,29,18,2000-05-06
9222,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,30,23,2000-05-13
9539,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,31,30,2000-05-20
9856,2000, Montell Jordan,Get It On.. Tonite,4:34,Rap,32,42,2000-05-27
242,2000, Patty Loveless,That's The Kind O...,3:27,Country,1,98,2000-09-16
559,2000, Patty Loveless,That's The Kind O...,3:27,Country,2,93,2000-09-23
876,2000, Patty Loveless,That's The Kind O...,3:27,Country,3,93,2000-09-30
1193,2000, Patty Loveless,That's The Kind O...,3:27,Country,4,93,2000-10-07
1510,2000, Patty Loveless,That's The Kind O...,3:27,Country,5,88,2000-10-14
1827,2000, Patty Loveless,That's The Kind O...,3:27,Country,6,88,2000-10-21
2144,2000, Patty Loveless,That's The Kind O...,3:27,Country,7,82,2000-10-28
2461,2000, Patty Loveless,That's The Kind O...,3:27,Country,8,81,2000-11-04
2778,2000, Patty Loveless,That's The Kind O...,3:27,Country,9,73,2000-11-11
3095,2000, Patty Loveless,That's The Kind O...,3:27,Country,10,71,2000-11-18
3412,2000, Patty Loveless,That's The Kind O...,3:27,Country,11,71,2000-11-25
3729,2000, Patty Loveless,That's The Kind O...,3:27,Country,12,72,2000-12-02
4046,2000, Patty Loveless,That's The Kind O...,3:27,Country,13,85,2000-12-09
4363,2000, Patty Loveless,That's The Kind O...,3:27,Country,14,91,2000-12-16
165,2000, Phil Vassar,Carlene,4:07,Country,1,75,2000-03-04
482,2000, Phil Vassar,Carlene,4:07,Country,2,67,2000-03-11
799,2000, Phil Vassar,Carlene,4:07,Country,3,64,2000-03-18
1116,2000, Phil Vassar,Carlene,4:07,Country,4,64,2000-03-25
1433,2000, Phil Vassar,Carlene,4:07,Country,5,57,2000-04-01
1750,2000, Phil Vassar,Carlene,4:07,Country,6,53,2000-04-08
2067,2000, Phil Vassar,Carlene,4:07,Country,7,47,2000-04-15
2384,2000, Phil Vassar,Carlene,4:07,Country,8,45,2000-04-22
2701,2000, Phil Vassar,Carlene,4:07,Country,9,45,2000-04-29
3018,2000, Phil Vassar,Carlene,4:07,Country,10,50,2000-05-06
3335,2000, Phil Vassar,Carlene,4:07,Country,11,52,2000-05-13
3652,2000, Phil Vassar,Carlene,4:07,Country,12,56,2000-05-20
3969,2000, Phil Vassar,Carlene,4:07,Country,13,59,2000-05-27
4286,2000, Phil Vassar,Carlene,4:07,Country,14,78,2000-06-03
4603,2000, Phil Vassar,Carlene,4:07,Country,15,83,2000-06-10
4920,2000, Phil Vassar,Carlene,4:07,Country,16,84,2000-06-17
5237,2000, Phil Vassar,Carlene,4:07,Country,17,91,2000-06-24
5554,2000, Phil Vassar,Carlene,4:07,Country,18,96,2000-07-01
5871,2000, Phil Vassar,Carlene,4:07,Country,19,93,2000-07-08
138,2000, Phil Vassar,Just Another Day ...,3:54,Country,1,81,2000-09-30
455,2000, Phil Vassar,Just Another Day ...,3:54,Country,2,81,2000-10-07
772,2000, Phil Vassar,Just Another Day ...,3:54,Country,3,76,2000-10-14
1089,2000, Phil Vassar,Just Another Day ...,3:54,Country,4,67,2000-10-21
1406,2000, Phil Vassar,Just Another Day ...,3:54,Country,5,53,2000-10-28
1723,2000, Phil Vassar,Just Another Day ...,3:54,Country,6,46,2000-11-04
2040,2000, Phil Vassar,Just Another Day ...,3:54,Country,7,43,2000-11-11
2357,2000, Phil Vassar,Just Another Day ...,3:54,Country,8,38,2000-11-18
2674,2000, Phil Vassar,Just Another Day ...,3:54,Country,9,36,2000-11-25
2991,2000, Phil Vassar,Just Another Day ...,3:54,Country,10,35,2000-12-02
3308,2000, Phil Vassar,Just Another Day ...,3:54,Country,11,43,2000-12-09
3625,2000, Phil Vassar,Just Another Day ...,3:54,Country,12,41,2000-12-16
3942,2000, Phil Vassar,Just Another Day ...,3:54,Country,13,46,2000-12-23
4259,2000, Phil Vassar,Just Another Day ...,3:54,Country,14,51,2000-12-30
4576,2000, Phil Vassar,Just Another Day ...,3:54,Country,15,62,2001-01-06
4893,2000, Phil Vassar,Just Another Day ...,3:54,Country,16,58,2001-01-13
5210,2000, Phil Vassar,Just Another Day ...,3:54,Country,17,63,2001-01-20
5527,2000, Phil Vassar,Just Another Day ...,3:54,Country,18,70,2001-01-27
5844,2000, Phil Vassar,Just Another Day ...,3:54,Country,19,74,2001-02-03
6161,2000, Phil Vassar,Just Another Day ...,3:54,Country,20,79,2001-02-10
179,2000, Reba McEntire,I'll Be,4:23,Country,1,89,2000-05-13
496,2000, Reba McEntire,I'll Be,4:23,Country,2,79,2000-05-20
813,2000, Reba McEntire,I'll Be,4:23,Country,3,79,2000-05-27
1130,2000, Reba McEntire,I'll Be,4:23,Country,4,72,2000-06-03
1447,2000, Reba McEntire,I'll Be,4:23,Country,5,69,2000-06-10
1764,2000, Reba McEntire,I'll Be,4:23,Country,6,64,2000-06-17
2081,2000, Reba McEntire,I'll Be,4:23,Country,7,61,2000-06-24
2398,2000, Reba McEntire,I'll Be,4:23,Country,8,57,2000-07-01
2715,2000, Reba McEntire,I'll Be,4:23,Country,9,55,2000-07-08
3032,2000, Reba McEntire,I'll Be,4:23,Country,10,55,2000-07-15
3349,2000, Reba McEntire,I'll Be,4:23,Country,11,52,2000-07-22
3666,2000, Reba McEntire,I'll Be,4:23,Country,12,51,2000-07-29
3983,2000, Reba McEntire,I'll Be,4:23,Country,13,53,2000-08-05
4300,2000, Reba McEntire,I'll Be,4:23,Country,14,60,2000-08-12
4617,2000, Reba McEntire,I'll Be,4:23,Country,15,81,2000-08-19
4934,2000, Reba McEntire,I'll Be,4:23,Country,16,84,2000-08-26
5251,2000, Reba McEntire,I'll Be,4:23,Country,17,93,2000-09-02
5568,2000, Reba McEntire,I'll Be,4:23,Country,18,91,2000-09-09
5885,2000, Reba McEntire,I'll Be,4:23,Country,19,94,2000-09-16
6202,2000, Reba McEntire,I'll Be,4:23,Country,20,100,2000-09-23
126,2000, Reba McEntire,What Do You Say,3:26,Country,1,88,1999-10-30
443,2000, Reba McEntire,What Do You Say,3:26,Country,2,76,1999-11-06
760,2000, Reba McEntire,What Do You Say,3:26,Country,3,71,1999-11-13
1077,2000, Reba McEntire,What Do You Say,3:26,Country,4,71,1999-11-20
1394,2000, Reba McEntire,What Do You Say,3:26,Country,5,69,1999-11-27
1711,2000, Reba McEntire,What Do You Say,3:26,Country,6,63,1999-12-04
2028,2000, Reba McEntire,What Do You Say,3:26,Country,7,56,1999-12-11
2345,2000, Reba McEntire,What Do You Say,3:26,Country,8,51,1999-12-18
2662,2000, Reba McEntire,What Do You Say,3:26,Country,9,46,1999-12-25
2979,2000, Reba McEntire,What Do You Say,3:26,Country,10,46,2000-01-01
3296,2000, Reba McEntire,What Do You Say,3:26,Country,11,53,2000-01-08
3613,2000, Reba McEntire,What Do You Say,3:26,Country,12,43,2000-01-15
3930,2000, Reba McEntire,What Do You Say,3:26,Country,13,33,2000-01-22
4247,2000, Reba McEntire,What Do You Say,3:26,Country,14,31,2000-01-29
4564,2000, Reba McEntire,What Do You Say,3:26,Country,15,34,2000-02-05
4881,2000, Reba McEntire,What Do You Say,3:26,Country,16,41,2000-02-12
